,Enemy1,Enemy4,Enemy5
0,-20.0,-50.0,81.40000000000018
1,-40.0,-20.0,89.8000000000001
2,-50.0,-50.0,92.20000000000007
3,-40.0,-40.0,79.6000000000002
4,-40.0,-40.0,91.00000000000009
5,-10.0,-20.0,87.40000000000012
6,-40.0,-20.0,85.00000000000014
7,-40.0,-40.0,92.80000000000008
8,-20.0,-30.0,85.60000000000014
