,mean,best,std,generation
0,7.016391114274083,92.6840508968537,25.817580662203277,0
1,20.031598755296113,93.62951600496186,33.95023041876437,1
2,15.92966148992275,92.39486503108353,28.806417467405087,2
3,28.031305224971142,94.37240366476763,37.317581113706716,3
4,33.86642869414046,92.80878821817865,37.48490344108285,4
5,46.0426390653523,93.75289246928254,35.760049059597584,5
6,49.36278488221167,92.69982739098295,37.57423712815897,6
7,49.86648869763656,93.01419793370403,37.04644632991089,7
8,55.838491237877804,92.8996882233926,37.953320662715996,8
9,48.37310298589991,93.25092391510479,36.16475270782697,9
10,50.3145732731618,92.78266573298149,37.88359309557069,10
11,55.9916983518996,92.80164533066626,36.999609428564035,11
12,44.92578752504083,92.80742736117438,36.709068399632336,12
13,44.24960437154398,93.3150499825186,38.76936793398685,13
14,64.21688189134565,93.9952140260765,32.146544856291314,14
15,72.07413157008011,92.39486503108353,25.93070967900078,15
16,61.17243914613557,93.28109822612272,31.712688458599498,16
17,59.349911730676375,94.21669509194093,35.24687970844674,17
18,62.50267974231778,94.18506424239102,32.59014863423939,18
19,63.38273606866698,92.39486503108353,30.919177821985233,19
20,67.71033752499493,93.6150499825186,31.405727549065617,20
21,67.27015604083958,93.88728120673464,31.687442105306623,21
22,65.61303608393978,92.39486503108353,30.306709573587426,22
23,61.88404651480479,92.92041448585584,35.04865940781745,23
24,55.940100648720126,94.39109579777977,37.27707556974461,24
25,51.41044923905199,93.26661051127249,36.51803579242166,25
26,57.396740661771574,93.13402398497816,35.335364188983405,26
27,56.485931389625506,93.49936107665802,35.62747312489694,27
28,58.49263468227362,93.19419793370402,35.03845829365618,28
29,53.120381308575034,93.8142533262868,38.040090115019986,29
30,53.672724120188796,93.32552606686933,35.520641667743874,30
31,15.567529968156506,93.20297229859379,34.277394063964415,0
32,18.883062476445833,92.39486503108353,34.06874887585827,1
33,28.81859104645383,93.31297592783953,38.59465048226072,2
34,21.890120806618384,92.44521039683076,33.92499105642405,3
35,35.21379559758445,92.66855887687,40.01040546194756,4
36,43.05295029413078,92.5396882233926,42.2842090067383,5
37,39.27103319800607,92.47935834262663,38.73529770878706,6
38,49.92916633996123,92.59191706183108,36.6645448000504,7
39,48.201414127196095,94.2227877262359,36.25173618366516,8
40,57.793362536385246,92.39486503108353,36.96686320463874,9
41,59.706656550810514,93.6952140260765,35.019707184963615,10
42,55.40157801751285,93.77859563501555,36.4442457852529,11
43,62.324983791689355,92.39486503108353,32.43827374971198,12
44,54.922539230210965,92.56521039683076,37.87056934069505,13
45,50.934876274015544,93.63657488308075,36.979539396582915,14
46,61.77157073712303,93.01936107665803,32.73116522640583,15
47,58.019371355728545,92.58324619773174,37.12141435310546,16
48,54.751030019174,93.34188534076951,35.82989886651469,17
49,62.474408186360435,92.46472159231585,34.10267586534884,18
50,68.010864811909,93.2153166091058,30.343057804416674,19
51,58.2023675118703,93.37297592783953,36.592943593864845,20
52,62.042944978071915,93.3952140260765,34.735676628888704,21
53,61.615511413097074,92.39982739098295,32.68882310171795,22
54,54.36469794883371,93.55936107665802,36.45960361988898,23
55,72.60013652323242,92.6587078342906,30.46004593178593,24
56,58.0770687909263,93.2752140260765,35.746515246553564,25
57,54.40499063277279,93.70624979919324,34.266705195590546,26
58,66.11851862062186,92.9846788846423,31.074320787856458,27
59,53.47297328103638,94.03010128507694,36.00915522986934,28
60,48.97484223880676,92.43657488308077,37.6405930634084,29
61,39.65421679899645,93.98168263345197,36.85341608592737,30
62,9.32688486077705,92.39486503108353,27.963193703275376,0
63,14.460031485835948,92.66389959779559,32.33294240987964,1
64,19.230582667699377,93.0402701740138,36.14373386321874,2
65,21.604122808763687,93.21173296930547,34.99911462568306,3
66,31.994963314590095,93.28700044143628,37.50693666259559,4
67,27.617606040366553,92.8427877262359,36.65313086084902,5
68,42.905165503042625,93.61669509194094,39.615510691057786,6
69,40.35241964690948,94.0552140260765,35.20633938454233,7
70,39.55435852817653,92.89504998251861,38.33779313848126,8
71,37.6802335149247,92.50521039683076,35.88599714166458,9
72,36.811866920166,92.10283177470681,36.685354831093996,10
73,42.01819273680254,92.59504998251862,36.72731815586182,11
74,44.04356587897505,92.56254710353531,37.77477896206666,12
75,48.49177298488092,93.23982739098295,38.02817044380324,13
76,56.98551080349123,92.39486503108353,33.00804278441369,14
77,64.62501014242653,92.81550493721093,31.20359052947724,15
78,53.160421829787,92.39486503108353,37.59024409376184,16
79,52.9881829554179,92.98506424239103,35.48401881900818,17
80,63.26968762075375,93.383413725328,34.82808091527199,18
81,46.517953250178145,92.39486503108353,34.51207405770046,19
82,64.88738288711204,92.6728282285399,31.130638586226475,20
83,74.6334499224199,93.13946500072772,26.091327251683303,21
84,67.54546602006633,92.86521039683076,31.38203426191886,22
85,63.28842016807407,92.66389959779559,34.50627582028093,23
86,69.89664376868734,92.9909282701835,30.675079852300946,24
87,77.30844444618471,92.55167900420625,24.853809093724383,25
88,71.21581549479656,93.44661051127248,30.678837504618663,26
89,70.75302440788373,93.30324619773172,30.758805947650554,27
90,75.1992219469109,92.5132626283337,27.21357448873715,28
91,75.59921816459044,93.26353644806849,27.97093151066655,29
92,73.8258724978883,93.37936107665803,28.511763389995487,30
93,14.916279590498576,92.49275134159976,31.89608903031692,0
94,13.004483868303632,90.86901301948917,31.13936781986837,1
95,29.605625467592507,92.58990021702645,37.70667297003128,2
96,29.712414260794503,92.94324619773174,36.81387771384739,3
97,31.177229314974866,92.39486503108353,34.824652540099564,4
98,39.38465371646512,92.39486503108353,38.32129065161265,5
99,47.61624899839375,93.5470431491098,37.76218952549272,6
100,41.25564207107957,92.39486503108353,38.042295979132525,7
101,49.27795466859451,92.88420156294976,39.00508192871775,8
102,53.32523817665717,92.97955642660932,37.740933689641,9
103,50.88997078837642,92.5624619202987,37.057535511678516,10
104,52.440781629971546,92.39486503108353,34.82764003429021,11
105,57.06053670513663,93.10624979919325,33.27856602368952,12
106,56.27286587993835,92.75598249381267,35.75085981494185,13
107,57.25384902781495,93.44168263345198,35.56791933839391,14
108,50.74344720353144,92.39486503108353,37.846667720637036,15
109,51.00546058917108,93.04254710353531,36.30450846804435,16
110,57.57791212798063,93.81521402607649,34.14748772011154,17
111,57.57845189965,92.77946500072773,33.05324088480472,18
112,57.57960830332967,93.86669517527552,35.02837530231717,19
113,53.61056440054394,92.80254710353532,37.6597912858827,20
114,48.08832219156329,92.68521039683077,33.95568901041602,21
115,57.423022897975244,93.53599331292321,35.162626303513484,22
116,58.07725264737097,93.04878821817864,33.374025847348506,23
117,45.507960824817594,92.39486503108353,35.381247371655924,24
118,54.61070284830267,93.15955642660933,35.561452838297555,25
119,43.3201886616581,92.39486503108353,37.04798417002854,26
120,39.94839437078353,92.39486503108353,37.09854027339954,27
121,54.17118859263672,92.39486503108353,34.76433418249768,28
122,43.98665500796375,92.91964417492169,36.73593820982542,29
123,62.67657710601118,92.7976657480352,33.07805659799743,30
124,9.85847789573365,92.39486503108353,28.921992085301472,0
125,18.744076873134603,92.39486503108353,34.565873231114416,1
126,25.899068887458427,92.39486503108353,36.55819232035972,2
127,28.604052302507696,92.39486503108353,35.215042439011064,3
128,34.04912919386827,92.83504998251861,36.94902595820745,4
129,37.74945973799196,94.03669509194093,37.07162207251078,5
130,53.676223226858816,93.20957298262515,37.249443406439504,6
131,43.151637537231174,92.39486503108353,35.052656967512384,7
132,43.23275900189754,92.49946701359931,38.435613542149405,8
133,41.22473261743672,94.48094470078547,36.67042288647603,9
134,61.034660376361046,93.45639337829168,33.658986359753065,10
135,49.38366851657097,93.83018670042401,36.947741094608055,11
136,41.11424211746758,92.59946500072773,34.739278092187234,12
137,55.143402733131715,92.39486503108353,37.10930620400408,13
138,54.21533494862086,93.31946500072772,37.9490161710565,14
139,50.43967339850649,92.79480889721518,38.52115752092005,15
140,55.55569752077704,92.7732252730877,35.14050155446,16
141,63.57602906658772,92.93185751001957,35.368596416297066,17
142,57.89514692005825,93.64183729848226,31.91129742444678,18
143,60.48853032673035,93.84420156294973,34.5958918674069,19
144,58.86468202623188,93.17250552318657,35.2037409795746,20
145,57.221749420983635,93.7950499825186,35.402532593378275,21
146,62.63322250252469,93.63955642660932,34.70973815445792,22
147,61.581510068787765,93.86355803717007,31.292587756279335,23
148,61.321071304156966,92.5429722985938,34.3516815816494,24
149,66.13290839154955,93.34226421822038,29.739407190160723,25
150,58.10797226190974,93.49482255552044,33.515749393003986,26
151,54.51676614217021,93.46013357217582,35.62907745380447,27
152,69.59951353447518,93.49946500072772,27.74311790139243,28
153,65.7864722922648,93.22700044143627,32.041122228249606,29
154,71.23099066917786,92.55167900420625,28.48416601630228,30
155,18.26762289826984,93.32355803717007,36.62609943209713,0
156,24.070083562279116,92.39486503108353,37.23776920235417,1
157,23.978428300349933,93.39275134159975,36.29622086389025,2
158,41.72471549526073,93.23833644349735,38.63644123389853,3
159,40.18306691748526,93.02266573298148,40.23702671665153,4
160,44.98053809195267,92.5519398588649,39.2005541202064,5
161,51.71000624786588,93.58637245364764,38.411945931245874,6
162,51.861438182766385,93.33853908213777,37.81090485124639,7
163,44.96218253907002,93.26353644806849,38.93797032766819,8
164,51.840656180705665,92.39237888630939,37.54928958193543,9
165,47.23266573369612,92.80878821817865,34.51835907353267,10
166,49.66330518659363,92.46322890233344,39.5566832755585,11
167,58.91487627812846,93.00250462797224,34.27944205910256,12
168,57.79317415342129,94.15605369405455,35.47289464217682,13
169,63.37783393257564,92.39486503108353,29.60023039117647,14
170,62.964371427329176,92.55858512203886,31.47824240232559,15
171,62.24429006397643,93.67261419415925,35.749738599323024,16
172,65.04446168313342,93.3352140260765,33.22121134914083,17
173,55.959425980608785,93.3750499825186,34.98939082773125,18
174,61.145405577440904,93.51964417492168,35.4018955626792,19
175,64.3261957730121,93.01669509194095,34.494123422547865,20
176,61.13098688401022,93.68889138314543,35.26713615223552,21
177,57.909350927042134,92.98728120673465,34.81304787855206,22
178,73.27801410425984,92.5576657480352,26.683295181638748,23
179,58.78007708822034,94.02420156294974,34.902791583518734,24
180,65.74635394074572,92.5519398588649,32.929302455735126,25
181,60.03524134988285,93.43482255552044,35.360226485689154,26
182,62.71020905715509,93.50385026742617,33.769614518894784,27
183,64.04133432104707,93.04878821817864,34.0116436885287,28
184,64.99436199630546,94.17521402607649,32.08028651293756,29
185,73.03163170795565,93.02669517527553,27.56154448220441,30
186,13.312127701785197,92.65315225241281,32.18350143608227,0
187,16.46113715486339,93.05550493721093,33.37902094846565,1
188,23.919786127545766,92.41641489804763,35.43094180540742,2
189,26.95733497015598,92.52494574850195,35.07780983300875,3
190,30.953132867884477,92.20288884003682,34.43096594705632,4
191,34.95830318442366,92.8105138471586,37.70041116923382,5
192,51.2282755011185,92.7835364480685,39.780260675564605,6
193,50.82660025557518,93.29547959267732,37.75748514690782,7
194,50.49534691724769,92.96661051127249,35.34582038122777,8
195,44.868165088513926,92.89504998251861,35.87792529208406,9
196,45.968533521769295,93.29874178945528,37.1174941220607,10
197,37.70923751354616,92.39642023266133,37.8052273249975,11
198,44.05087192604324,92.92521039683076,38.112259138269636,12
199,44.5314516258883,93.17699002086161,38.73287183998877,13
200,67.60973347729741,93.84482618476619,31.75374717246582,14
201,61.319324967050804,92.6509239151048,34.27709071093153,15
202,53.6457689077471,93.33964417492169,37.29356660442782,16
203,49.762432477135214,93.13703951986406,37.332141619398634,17
204,51.42980137118591,92.97679627126203,38.278545176975044,18
205,64.68071179136564,93.38355803717008,32.52501934928305,19
206,56.427265852576,92.39486503108353,35.72887836077126,20
207,51.788069299379075,92.783413725328,37.78181286746102,21
208,51.77215994335728,92.5624619202987,37.25622770273054,22
209,49.818536903756375,93.41240366476762,37.68048448923763,23
210,55.96004738560458,93.19936107665802,36.550668745782744,24
211,62.54267512524547,92.96661051127249,34.32696952343416,25
212,51.844118357770675,93.02814186652394,37.43799623251266,26
213,50.84332559303341,92.68226421822038,37.11649038596267,27
214,56.54674770270272,93.83859563501555,37.33635989242306,28
215,71.6142264643399,93.75405452609944,28.53394151760544,29
216,53.87931207417662,92.78901301948915,35.57012728818157,30
217,9.641023731890591,92.39486503108353,27.423625699411875,0
218,17.249392951616837,92.42266573298149,31.727801009256236,1
219,27.65301159274492,92.63486503108352,35.320401038093664,2
220,19.357507201018496,93.76094470078549,33.73682897219639,3
221,30.297396836190128,93.26353644806849,39.059110639033925,4
222,28.222203771035907,92.63859563501556,35.8838322942108,5
223,38.8695670891133,92.53946500072773,38.10078678935194,6
224,41.36123368513473,92.79616819497441,39.78780209819821,7
225,45.81150473912174,92.5602701740138,38.1950981936466,8
226,40.1377506324373,93.32355803717007,38.0785228393799,9
227,36.466023225377945,92.39486503108353,37.79566406991712,10
228,47.08330550129513,94.09402398497815,36.825562142305564,11
229,58.81120787725626,93.34246192029869,33.34805578628319,12
230,59.513978386675284,93.00324619773173,34.34152706791192,13
231,64.01511600952712,93.10041448585585,33.107712232623626,14
232,57.38364961755718,92.88192069107683,36.776531293689935,15
233,61.59006197694511,94.0552140260765,35.60659051872869,16
234,63.28472695828828,92.58772657195338,32.98298324242982,17
235,72.35093018732893,93.32661051127249,26.006773126810348,18
236,72.18779480171064,92.77870783429059,29.06276867569961,19
237,73.7153516632591,93.64326625757944,25.97118441934202,20
238,63.2879654898294,92.39486503108353,32.60334754498018,21
239,65.8130036565322,92.39486503108353,32.98460651161146,22
240,71.54924884383875,93.48482618476619,28.66282113651302,23
241,57.04847409453931,93.68951600496186,36.528650445244615,24
242,68.48538993620288,93.51521402607649,29.772021604189646,25
243,50.08168794876356,93.02297229859379,37.00864416963829,26
244,56.526984829009464,93.93173296930547,38.1132996322121,27
245,53.87827580140857,92.83402398497816,35.01079150164885,28
246,58.19631391880613,93.57193985886488,36.875624707031676,29
